offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
-1.000000000000000000e+03,2.000000000000000000e+02,3.411365542156299391e+00,3.212714997468128081e-02,2.619550409606380015e+01,8.353058993417132871e-01,1.001421717694786606e+00
-9.487179487179487296e+02,2.000000000000000000e+02,3.588041269139815803e+00,3.037687876444580826e-02,2.807075818979082271e+01,7.139065800880207702e-01,1.000110143182060263e+00
-8.974358974358974592e+02,2.000000000000000000e+02,3.809560112636972917e+00,3.156656681351763249e-02,3.017726455018286913e+01,6.671524370725430142e-01,1.005716376289869540e+00
-8.461538461538461888e+02,2.000000000000000000e+02,3.994683239209082970e+00,3.157718905112263247e-02,3.074862879309947772e+01,5.967901883389686857e-01,1.006592323627142349e+00
-7.948717948717949184e+02,2.000000000000000000e+02,4.213138540826771639e+00,3.321702182157972028e-02,3.127306848386633931e+01,5.578974618369990646e-01,1.000397869005319906e+00
-7.435897435897436480e+02,2.000000000000000000e+02,4.591894040143311706e+00,3.403970935390179114e-02,3.350844380609540707e+01,5.045754681742734560e-01,1.004839319688300980e+00
-6.923076923076922640e+02,2.000000000000000000e+02,5.043853845336021102e+00,3.517482744811716022e-02,3.552494282051614505e+01,4.566483516045504176e-01,1.005421699867483198e+00
-6.410256410256409936e+02,2.000000000000000000e+02,5.477638256733264654e+00,3.965673157243698038e-02,3.606645992764533304e+01,4.470442600532573141e-01,9.964176317792694526e-01
-5.897435897435897232e+02,2.000000000000000000e+02,5.976772482662476627e+00,4.094977383494360912e-02,3.620709206399791924e+01,3.970054996515964274e-01,9.947252187133156509e-01
-5.384615384615384528e+02,2.000000000000000000e+02,6.775521885266016398e+00,4.367853124295795197e-02,3.776673081692797496e+01,3.602832695425052245e-01,9.983458337258388493e-01
-4.871794871794871824e+02,2.000000000000000000e+02,7.706064018495536239e+00,4.839025483498898828e-02,3.859674631101506748e+01,3.355184927612056001e-01,1.000407466787913036e+00
-4.358974358974359120e+02,2.000000000000000000e+02,8.716833659587598149e+00,5.837264385935753142e-02,3.824781537590606462e+01,3.356522966429591470e-01,9.969052731806941070e-01
-3.846153846153845279e+02,2.000000000000000000e+02,1.006665848717670464e+01,6.885757725579846888e-02,3.804986295158757770e+01,3.235083807165914926e-01,1.005195940855309278e+00
-3.333333333333332575e+02,2.000000000000000000e+02,1.184931300311037106e+01,7.919218374317757436e-02,3.781962690063917876e+01,2.991704719186707440e-01,1.007003372942907982e+00
-2.820512820512819872e+02,2.000000000000000000e+02,1.375370941171674488e+01,9.844166823997527183e-02,3.613534713061427794e+01,2.942247362386111176e-01,9.967087649278072448e-01
-2.307692307692307168e+02,2.000000000000000000e+02,1.636569682987707353e+01,1.268201799119579865e-01,3.482594408858915358e+01,2.956636147059849007e-01,9.996392621045256943e-01
-1.794871794871794464e+02,2.000000000000000000e+02,1.953136069734158653e+01,1.670518578751837013e-01,3.324826855680472448e+01,3.015939524820870354e-01,9.925836117837538719e-01
-1.282051282051281760e+02,2.000000000000000000e+02,2.371122974314491927e+01,2.227369668352363885e-01,3.242721829637671505e+01,3.142626764157904207e-01,1.006882938714561249e+00
-7.692307692307690559e+01,2.000000000000000000e+02,2.740576070014628840e+01,2.565051853339723742e-01,3.109004482738686548e+01,2.944497393774594407e-01,1.010551999768497300e+00
-2.564102564102563520e+01,2.000000000000000000e+02,2.944739544428658462e+01,3.050692643493201905e-01,2.989031778886722890e+01,3.100835520605187412e-01,1.003680292952478181e+00
2.564102564102563520e+01,2.000000000000000000e+02,2.780083214505967959e+01,2.615363610955732665e-01,2.821669066157939554e+01,2.658351178525682479e-01,9.957298328169739143e-01
7.692307692307690559e+01,2.000000000000000000e+02,2.430598994526685885e+01,2.358121186063210639e-01,2.753172810285071392e+01,2.706955681042975681e-01,9.970865501830469269e-01
1.282051282051281760e+02,2.000000000000000000e+02,1.940134018427163198e+01,1.671138739945217666e-01,2.634633532902492803e+01,2.357832830981220762e-01,1.010214498871678579e+00
1.794871794871794464e+02,2.000000000000000000e+02,1.521512315360118528e+01,1.125597184352479102e-01,2.545577132136018861e+01,2.032143240126171591e-01,9.950755933453244717e-01
2.307692307692309441e+02,2.000000000000000000e+02,1.206439240521015499e+01,8.662848067059489288e-02,2.479805093285683171e+01,2.019622567113279754e-01,9.986516039150155066e-01
2.820512820512822145e+02,2.000000000000000000e+02,9.596658501740279235e+00,6.398554372737369489e-02,2.371065716562218739e+01,1.912414738886529242e-01,9.966751448781098199e-01
3.333333333333334849e+02,2.000000000000000000e+02,7.953917327381973656e+00,5.518971125170777509e-02,2.310368768122080141e+01,2.084944647286739450e-01,1.001684626369369502e+00
3.846153846153847553e+02,2.000000000000000000e+02,6.809643556057677571e+00,4.396950132197365718e-02,2.274767445863785653e+01,2.065786038440656502e-01,1.004308676812543100e+00
4.358974358974360257e+02,2.000000000000000000e+02,5.946048280191130075e+00,3.839855896085125203e-02,2.231534402271638839e+01,2.207980254251184216e-01,1.004335304103684212e+00
4.871794871794872961e+02,2.000000000000000000e+02,5.219248183674851660e+00,3.779824034847686920e-02,2.135416919463181529e+01,2.620777401150803376e-01,9.953558727088197555e-01
5.384615384615385665e+02,2.000000000000000000e+02,4.769587089035728589e+00,3.352329978170595637e-02,2.122073610719412784e+01,2.765176325189238060e-01,1.000440747761269789e+00
5.897435897435898369e+02,2.000000000000000000e+02,4.371007619342619499e+00,3.273849625069118890e-02,2.063930200843278584e+01,3.173976763397057255e-01,1.000930834647402401e+00
6.410256410256411073e+02,2.000000000000000000e+02,4.076619284199527016e+00,3.159055499114146043e-02,2.027298767053590822e+01,3.561154870993503141e-01,1.000322950946632705e+00
6.923076923076923777e+02,2.000000000000000000e+02,3.892465667428619991e+00,3.024873036369670962e-02,2.057733535111474055e+01,3.926965350174590474e-01,1.005116759352534306e+00
7.435897435897436480e+02,2.000000000000000000e+02,3.680312678903421730e+00,3.095933564085553633e-02,1.999594323376499005e+01,4.589146491510381343e-01,1.000851418573264873e+00
7.948717948717949184e+02,2.000000000000000000e+02,3.494979870633140528e+00,2.940909607038963078e-02,1.921121352741236166e+01,4.939413334741443729e-01,9.968332740809513481e-01
8.461538461538461888e+02,2.000000000000000000e+02,3.375338236311990592e+00,2.773201718934409712e-02,1.904337471467750476e+01,5.241187154009766536e-01,1.000602742448989613e+00
8.974358974358974592e+02,2.000000000000000000e+02,3.269738174780355333e+00,2.944514288434723140e-02,1.876824678927633272e+01,6.223166095727982183e-01,9.986921108247702739e-01
9.487179487179487296e+02,2.000000000000000000e+02,3.208833962641063575e+00,3.009641134951160368e-02,1.915876320089904539e+01,7.073151348452607623e-01,1.000250701193794445e+00
1.000000000000000000e+03,2.000000000000000000e+02,3.108189114891771965e+00,2.886654179199985015e-02,1.831291698718608529e+01,7.505300865919961595e-01,1.002450913669429067e+00
